Geographic Area Name,P_Covid_012221,T_Covid_012221,T_Pop,P_Educated,P_HSDropout,P_Disability,P_NotWhite,P_White,P_Black,P_Hispanic,P_Asian,P_NewMoms,P_Fertility,P_Essential,P_Vacant,P_SFR,P_MFR20+,MedianRooms,MHV,P_Female,P_Children,P_Seniors,P_Renter,P_MortgageStress,P_RentStress,P_HousingStress,P_NoCar,P_Unemployed,P_Transit,P_WorkatHome,MHI,P_Snap,P_PublicIns,P_NoHealthIns,P_Poverty,P_Poverty_Kids,P_Poverty_Seniors,P_FamilywithKids,P_SingleMoms,A_FamSize,P_OtherRel,P_Married,P_Foreign,P_NonEnglish,P_Internet,P_Veterans
Manorhaven village,7.1,469,6620,54.2,6.3,4.8,49,51,0.7,24.8,20.5,5.3,7.4,38.1,12.2,33.6,3.2,5.3,582800,51.7,26.7,11.3,64.4,24.9,47.4,34.1,8.5,5.5,20.8,3.6,89492,2.8,24.9,13.9,16.3,23.7,3.5,39.8,3,3.18,6.4,55.7,35.4,47.9,86.4,3.6
Massapequa CDP,8.0,1759,21861,46.3,3.7,8.7,8.4,91.6,0.6,5.6,1.6,4.3,10.6,36.9,5.5,95.4,0.5,7.2,510200,50.9,20.4,18.0,5.3,32.9,40.8,22.2,2.6,2.6,15.6,3.3,123935,2.1,26.6,1.5,2.3,1.8,3,31.8,1.2,3.38,5,59.5,5,6.6,89,6.3
Massapequa Park village,7.9,1352,17120,44.1,3.8,9.7,10.2,89.8,0.2,6.6,2,4.3,7,40.6,5.2,98.2,0.3,7.2,460800,51.0,22.4,17.8,2.6,24.8,43.9,16.1,2.6,4,13.1,3.6,125206,1.8,25.5,2.6,2.1,1.4,2.9,34.5,1.6,3.32,4.2,62.2,5.9,7.8,90.5,5.8
Matinecock village,4.2,38,897,81,2.2,3.3,7.4,92.6,0,4.2,2.1,3.4,26.1,24,12.8,97.4,0,,,55.4,29.8,14.3,17.9,39.8,38.5,23.4,0,2.2,15.2,25.8,175662,0,15.1,0.8,4.6,3.4,1.6,46.2,6.3,3.44,2.1,64.8,4.7,13.7,96.7,2.7
Merrick CDP,7.1,1412,19966,60.4,3.8,7.8,12.4,87.6,2.5,5.9,2.9,4,10.8,27.3,5.8,96.8,0.6,7.4,562500,50.3,22.6,17.0,5.4,25.9,18.3,16.9,1.8,4.7,23.9,5.4,154770,1.5,22.6,1.6,2.9,1.4,4.6,35.8,1.1,3.19,4.9,65.6,11.6,13.7,92.9,4.2
Mill Neck village,6.8,69,1011,74.3,2.1,3.8,20.3,79.7,0,5.7,12,3,10.6,25.9,16.8,100,0,8.4,1428600,49.9,20.2,21.9,7.3,24.1,50,15.5,2.3,2.4,9.7,12.1,204083,1.2,23,1.5,5.4,2,7.7,26.4,1.6,3.18,4.8,66.2,15.3,21.9,95.9,3.5
Mineola village,7.4,1425,19132,41.2,9.2,6.2,31.7,68.3,2.3,18.7,9.1,6,6.7,49.4,2.7,61.9,21.4,5.8,472100,52.8,18.0,17.5,34.8,22.2,26,16.6,6.6,2,12.3,1.3,96250,1.8,26.3,3.3,4.3,4.4,3.8,25.6,1.5,3.26,7.5,61.3,29.3,37.7,87.8,3.5
Munsey Park village,4.3,117,2719,86.3,0.8,4.7,15.9,84.1,0,3.6,10.2,3,17,17.3,2.2,99,0.4,,1533900,48.0,33.2,14.8,5.9,22.6,0,13.7,1.1,3.9,50.4,4.7,0,1.3,15.5,1.5,0.7,0.7,0,52.8,4,3.6,2.8,74,14,13.8,94.8,2
Muttontown village,5.7,209,3655,73,1.8,5.1,31.7,68.3,4.8,1.8,23.1,5.5,17.9,26.3,8.6,99,1,,1613700,49.9,20.8,20.3,4.5,39.3,76,23.8,2.8,2.9,17.1,6.9,220694,0.5,23.9,3.3,4.9,2.9,6.9,32.4,1.2,3.17,8,65.4,24.9,30.2,95.6,2.2
New Cassel CDP,8.2,1204,14648,22.4,26.8,6.5,93.6,6.4,38.6,52.6,1.2,4.6,38.1,59.7,5.1,76.4,10.5,6.3,339000,50.4,26.8,9.3,37.3,33.2,54.4,33.5,11,4.5,8.9,1.5,88750,11.5,28.2,18.6,12.8,19.3,8,35.6,3,4.84,25.1,45.4,45.1,64,86.9,1.6
New Hyde Park village,7.3,723,9846,48.4,9.3,7.5,59.3,40.7,0.8,21.9,33.9,3.7,15.7,44.5,2.7,87.8,0.9,6.6,547800,53.5,22.7,14.4,17.8,23.7,33.8,18.2,3.2,3.5,21.1,1.1,126210,3.6,26.8,5.7,3.3,0.4,0.7,42.2,1.2,3.81,12.4,67.6,34.4,48.2,95,2.1
North Bellmore CDP,7.2,1463,20269,48,4.7,9.6,17.8,82.2,1.2,8.4,6.7,4.3,14.5,34.3,2.4,90.7,2.7,6.8,468300,49.7,20.1,15.9,11.4,28.5,37.8,21,4.1,5.2,13.7,2.5,133279,2.5,22.7,2.3,2.7,1,2.5,33.2,1.3,3.57,8.8,58.9,10.6,16.3,93.6,4.8
North Hills village,5.3,298,5639,68.9,1.5,11.2,34.3,65.7,2.6,1.4,29.4,13.5,10.8,36,6.9,83.5,12.2,6.2,981400,54.5,11.3,46.1,13.1,26.7,55.3,16,14.8,1.5,9.6,8.5,137423,0,45.7,1.7,0.6,0,1,14.1,1.2,2.57,2.1,80,29.9,33.9,79.9,6.3
North Lynbrook CDP,12.7,53,417,39.5,7.0,9.4,36,64,0,15.6,20.4,11.1,12.5,36.1,0,100,0,7.6,453800,44.8,14.6,30.2,0,39.6,0,13.9,14.6,3.8,4.3,3.8,140208,0,35.3,3.1,0,0,0,13.1,20.9,3.39,23.7,59.4,27.3,28.9,81.8,4.5
North Massapequa CDP,7.5,1389,18609,39.2,4.1,9.5,8,92,1,4.5,1.4,8.3,13.3,43,5,96.6,0,7,443500,51.2,20.8,17.0,4.4,28,21.1,17.9,2.4,3.5,12.4,2.1,118401,1.8,25,1.8,4.4,5.9,4.5,32.2,0.6,3.35,6.3,58.8,5.7,8.9,89.3,6.2
North Merrick CDP,7.1,872,12232,51.8,4.4,6.4,19.9,80.1,4.3,8.8,5.2,4,12.5,30.8,2.9,93.7,1.3,7.1,482900,51.2,24.7,13.7,3.6,29.4,17.6,19.1,1.9,3,15,3.3,129058,0.7,19,1.6,2.2,2.4,2.5,41.1,2.2,3.45,4.3,64.2,9.8,13.3,93.3,5.4
North New Hyde Park CDP,7.3,1149,15726,50.8,9.1,8.6,49.9,50.1,1.4,10.2,36.3,3.7,7.9,37.4,2.5,96.1,1.4,6.8,595000,51.4,20.2,18.9,7.5,34.5,27,19,6,3.2,16.5,2.8,123464,5.7,25.1,4.9,1.8,1.1,2.2,35,1,3.54,9.4,63.5,33.6,46,91.1,3.9
